,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
282,Maricopa,Arizona,Glendale,13.3,2020-01-23,4253913.0,0,0,0.0,0.0
283,Maricopa,Arizona,Tempe,9.5,2020-01-23,4253913.0,0,0,0.0,0.0
284,Maricopa,Arizona,Phoenix,19.1,2020-01-23,4253913.0,0,0,0.0,0.0
285,Maricopa,Arizona,Phoenix,22.3,2020-01-23,4253913.0,0,0,0.0,0.0
286,Maricopa,Arizona,Mesa,6.4,2020-01-24,4253913.0,0,0,0.0,0.0
287,Maricopa,Arizona,Phoenix,9.1,2020-01-24,4253913.0,0,0,0.0,0.0
288,Maricopa,Arizona,Phoenix,15.9,2020-01-24,4253913.0,0,0,0.0,0.0
289,Maricopa,Arizona,Phoenix,15.7,2020-01-24,4253913.0,0,0,0.0,0.0
290,Maricopa,Arizona,Phoenix,14.5,2020-01-24,4253913.0,0,0,0.0,0.0
291,Maricopa,Arizona,Glendale,8.8,2020-01-24,4253913.0,0,0,0.0,0.0
292,Maricopa,Arizona,Tempe,8.3,2020-01-24,4253913.0,0,0,0.0,0.0
